,SP_01,SP_02,SP_03,SP_04,SP_05,SP_06,SP_07,SP_08,SP_09,SP_10,SP_11,SP_12,SP_13,SP_14,SP_15,SP_16,SP_17,SP_18,SP_19,SP_20,SP_21,SP_22,SP_23,SP_24,SP_25,SP_26,SP_27,SP_28,SP_29,SP_30,SP_31,SP_32,SP_33,SP_34,SP_35,SP_36,SP_37
IND_001,0,1,7,2,0,0,1,1,1,0,0,1,0,1,0,8,8,2,1,1,0,1,0,1,0,1,2,6,0,13,0,0,1,1,0,2,0
IND_005,2,1,11,3,1,1,0,0,3,1,0,0,0,0,1,5,23,8,1,2,1,1,1,8,1,3,2,12,1,17,4,0,0,0,1,5,0
IND_012,4,0,4,4,1,0,3,1,1,0,1,1,1,1,0,4,3,20,1,11,2,1,1,2,1,9,1,13,1,13,1,0,1,2,1,2,4
IND_017,2,0,2,1,0,1,1,0,2,0,0,0,0,0,0,10,0,1,1,1,1,0,1,0,0,1,3,3,0,11,0,0,0,0,0,4,0
IND_019,1,0,4,0,0,1,0,1,0,1,0,1,0,1,0,10,19,1,0,4,0,0,0,5,0,3,3,6,0,8,0,0,0,1,0,0,1
IND_026,1,0,6,2,0,0,3,1,0,0,1,0,0,1,1,0,10,7,1,1,1,0,0,8,1,5,0,10,0,2,0,0,1,2,1,1,2
IND_029,0,1,4,3,1,1,8,0,2,1,0,1,0,1,1,10,6,1,0,2,1,0,1,0,1,2,2,2,0,14,1,0,1,3,1,0,0
IND_032,0,1,2,0,0,0,6,1,0,0,0,0,1,0,0,8,2,0,0,1,0,0,0,2,1,3,0,10,0,4,0,0,0,0,1,1,0
IND_045,4,3,15,0,0,0,0,0,1,0,1,0,1,0,0,0,9,32,3,7,3,0,1,8,0,15,1,7,0,0,1,0,0,2,1,4,5
IND_046,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,8,0,7,0,0,0,0,0,1,0
IND_049,2,1,18,4,0,1,1,1,4,1,1,1,1,1,0,11,24,9,1,0,0,0,0,4,1,3,2,19,1,12,1,1,0,4,0,5,3
IND_055,3,0,5,2,1,0,0,1,3,0,1,1,1,1,0,5,12,23,2,7,1,1,1,6,1,6,2,12,1,11,1,1,1,3,1,2,2
IND_058,0,0,7,0,0,0,0,0,1,0,0,0,0,1,1,1,2,6,0,0,2,0,0,3,0,1,3,8,0,11,2,0,0,0,0,2,0
IND_081,1,1,8,0,0,1,0,0,1,0,0,1,0,0,1,10,25,20,1,2,2,0,0,12,0,5,3,10,0,9,1,1,0,0,0,0,0
IND_088,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,2,11,0,0,1,0,0,1,2,1,2,1,0,0,1,2,0,1,0,1,3,0
IND_092,0,0,2,0,0,1,0,1,0,1,1,1,0,0,0,11,2,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0
IND_099,1,0,2,2,0,0,1,0,1,1,1,0,1,0,0,1,5,19,0,3,1,0,1,5,1,5,0,9,1,8,2,1,1,2,1,5,1
IND_100,2,2,2,4,0,0,1,0,1,0,0,0,1,0,0,0,8,9,2,4,0,1,0,2,1,6,0,6,0,0,0,0,1,0,0,3,1
IND_101,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,3
IND_102,5,1,15,3,2,0,4,0,3,0,0,0,1,1,1,0,7,17,0,8,1,1,1,6,1,8,0,16,0,15,1,1,0,3,0,4,3
IND_103,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,10,2,1,0,0,0,0,0,3,0,2,0,3,0,16,1,0,0,0,0,1,0
IND_115,1,0,3,0,3,0,6,0,1,0,0,0,0,0,0,0,7,23,0,6,3,0,0,5,0,6,0,2,0,0,0,0,0,0,0,0,1
IND_130,3,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,15,0,4,1,0,0,4,0,4,0,4,0,0,0,1,1,0,0,0,5
IND_143,4,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,11,13,1,7,1,0,0,6,0,8,0,12,0,1,0,1,0,0,0,5,2
IND_152,5,0,14,3,4,0,0,1,2,1,0,0,0,1,0,7,15,12,2,9,2,1,1,10,1,8,2,17,0,11,3,1,1,2,1,2,4
IND_158,2,0,5,3,0,0,0,0,2,0,1,1,0,1,0,0,2,13,0,6,1,0,0,5,0,1,0,6,0,7,0,0,1,0,0,1,0
IND_159,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,5,1,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,2
IND_173,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
IND_183,0,0,4,4,0,1,2,1,1,0,1,0,1,1,1,9,1,0,0,0,0,0,0,0,0,0,3,7,0,12,3,1,0,1,1,0,0
IND_184,2,0,11,2,0,0,1,1,3,0,1,1,0,0,1,0,3,21,1,2,1,1,1,3,1,4,0,16,0,0,0,1,1,1,0,3,5
