,IND_001,IND_005,IND_012,IND_017,IND_019,IND_026,IND_029,IND_032,IND_045,IND_046,IND_049,IND_055,IND_058,IND_081,IND_088,IND_092,IND_099,IND_100,IND_101,IND_102,IND_103,IND_115,IND_130,IND_143,IND_152,IND_158,IND_159,IND_173,IND_183,IND_184
IND_001,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
IND_005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_012,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IND_017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IND_019,7,1,0,0,0,1,0,2,0,0,3,0,0,1,0,0,0,1,0,14,1,0,0,7,5,0,1,0,0,2
IND_026,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_029,3,0,0,5,2,1,0,0,0,3,15,3,4,2,0,1,0,0,0,1,4,0,0,0,2,0,2,0,2,8
IND_032,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IND_045,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
IND_046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_049,1,44,0,1,1,0,0,0,22,2,0,2,4,23,0,4,1,0,1,18,0,0,11,1,1,0,0,0,9,5
IND_055,10,0,3,5,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1
IND_058,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
IND_081,1,0,1,1,0,7,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
IND_088,0,0,1,0,0,1,0,0,0,0,0,8,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
IND_092,1,1,0,4,0,3,0,0,1,0,0,1,2,1,1,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0
IND_099,0,2,10,0,0,5,0,0,1,0,0,22,0,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0
IND_100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_102,0,0,0,0,0,0,0,0,0,3,2,16,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IND_103,0,1,0,5,2,1,0,3,0,5,0,0,4,1,0,1,0,2,0,0,0,0,0,0,0,0,0,3,2,0
IND_115,0,6,1,0,0,3,0,0,1,0,0,1,0,1,0,1,10,0,0,2,0,0,20,1,2,6,0,0,0,1
IND_130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_143,0,2,20,0,0,2,0,0,1,0,0,3,0,1,2,0,0,1,0,18,0,0,0,0,2,10,1,0,1,1
IND_152,0,0,0,0,1,9,0,0,4,0,0,1,1,0,0,0,0,4,3,11,0,0,0,0,0,0,0,0,0,0
IND_158,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_159,0,0,1,3,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_173,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_183,0,1,0,0,1,0,0,0,0,1,1,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
IND_184,0,0,0,0,0,6,0,0,1,4,0,2,3,0,8,0,1,15,0,0,0,0,0,0,2,0,0,0,0,0
